	Cs-137	Cs-137-Al
132.3036912	1478	1449
133.109174022	1430	1568
133.915206968	1430	1529
134.721790038	1478	1527
135.528923232	1471	1535
136.33660655	1476	1481
137.144839992	1474	1468
137.953623558	1480	1589
138.762957248	1518	1496
139.572841062	1540	1608
140.383275	1546	1585
141.194259062	1449	1545
142.005793248	1487	1553
142.817877558	1495	1607
143.630511992	1479	1544
144.44369655	1523	1582
145.257431232	1545	1624
146.071716038	1563	1471
146.886550968	1542	1585
147.701936022	1593	1634
148.5178712	1532	1501
149.334356502	1477	1539
150.151391928	1509	1541
150.968977478	1520	1514
151.787113152	1599	1541
152.60579895	1511	1629
153.425034872	1517	1602
154.244820918	1611	1543
155.065157088	1565	1559
155.886043382	1538	1631
156.7074798	1557	1603
157.529466342	1555	1553
158.352003008	1470	1541
159.175089798	1591	1667
159.998726712	1607	1606
160.82291375	1573	1613
161.647650912	1584	1707
162.472938198	1544	1566
163.298775608	1627	1639
164.125163142	1609	1701
164.9521008	1648	1694
165.779588582	1579	1602
166.607626488	1557	1707
167.436214518	1593	1674
168.265352672	1638	1683
169.09504095	1639	1672
169.925279352	1654	1689
170.756067878	1722	1710
171.587406528	1645	1699
172.419295302	1697	1646
173.2517342	1631	1725
174.084723222	1670	1751
174.918262368	1735	1776
175.752351638	1683	1794
176.586991032	1681	1774
177.42218055	1716	1837
178.257920192	1705	1788
179.094209958	1742	1805
179.931049848	1620	1791
180.768439862	1715	1765
181.60638	1681	1812
182.444870262	1683	1797
183.283910648	1745	1802
184.123501158	1792	1882
184.963641792	1694	1884
185.80433255	1797	1802
186.645573432	1769	1945
187.487364438	1722	1918
188.329705568	1800	1795
189.172596822	1806	1848
190.0160382	1836	1876
190.860029702	1861	1838
191.704571328	1761	1887
192.549663078	1803	1876
193.395304952	1838	1987
194.24149695	1864	1931
195.088239072	1818	1863
195.935531318	1846	1929
196.783373688	1803	1874
197.631766182	1888	2004
198.4807088	1884	1953
199.330201542	1838	1870
200.180244408	1888	1929
201.030837398	1861	1934
201.881980512	1809	1942
202.73367375	1950	2064
203.585917112	1843	1892
204.438710598	1772	1944
205.292054208	1892	1984
206.145947942	1878	1937
207.0003918	1887	1977
207.855385782	1891	2014
208.710929888	1820	1914
209.567024118	1835	1996
210.423668472	1896	2010
211.28086295	1863	1924
212.138607552	1843	1984
